compared_at,captured_at,match_date,kickoff,bookmaker,competition,home_team,away_team,is_home,player_id,player_name,canonical_player_name,player_team,opponent,position,position_group,odds_decimal,implied_prob,model_version,calibration_version,allocation_status,roster_prior_players,model_p_atgs,model_fair_odds_atgs,model_lambda,team_expected_npxg,team_share,non_pen_lambda,base_non_pen_lambda,penalty_lambda,base_model_lambda,role_adjustment_factor,role_adjustment_reason,penalty_dependency_share,penalty_dependent,penalty_share,baseline_penalty_share,baseline_penalty_sample,baseline_penalty_source,career_player_penalties,career_team_penalties,career_penalty_share,penalty_evidence_share,penalty_evidence_sample,penalty_evidence_source,penalty_evidence_note,is_penalty_taker,penalty_role,penalty_share_prior,penalty_share_prior_weight,penalty_hierarchy_boost_xg,penalty_transfer,penalty_transfer_from,penalty_transfer_level,lineup_state,lineup_status,lineup_source,lineup_input,lineup_match_name,trust_tier,fixture_corruption_score,fixture_corruption_flags,minutes_estimate,usual_position,usual_position_score,usual_position_share_10,usual_position_matches_10,today_position_group,today_position_score,today_formation,position_change_score,position_upgrade,expected_minutes,recent_matches_8,recent_npxg_8,recent_np_goals_8,recent_npxg_per90_8,finishing_luck_8,last_fixture_avg_xga_3,next_opponent_xga,fixture_swing_3,attack_factor,opp_factor,ev,edge_pct,method,resolver_source,historical_minutes,signal_confidence,legacy_public_action,public_action,public_policy_reason,recommended_stake_units,recommended_stake_band,recommended_stake_label,shadow_action,confidence_reason,team_lineup_status,source,notes
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,1,10809,Keane Lewis-Potter,Keane Lewis-Potter,Brentford,Chelsea FC,DL,DL,5.5,0.181818,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.209937,4.7633,0.2356,1.9442,0.1212,0.2356,0.2356,0.0,0.2356,1.0,,0.0,0,0.0,0.0,3.17,recent_long,0.0,18.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Keane Lewis-Potter,T2,0.0,,79.5,DL,1,1.0,10,DEF,1,4-2-3-1,0,0,79.5,8,1.4961,1.0,0.1935,-0.4961,1.5254,1.7423,1.1422,1.1969,1.243,0.154652,15.465,model,history,6848.0,medium,surface_with_caveat,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,1,9680,Vitaly Janelt,Vitaly Janelt,Brentford,Chelsea FC,DMC,DMC,8.0,0.125,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.138758,7.2068,0.1494,1.9442,0.0768,0.1494,0.1494,0.0,0.1494,1.0,,0.0,0,0.0,0.0,2.66,recent_long,0.0,14.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Vitaly Janelt,T2,0.0,,81.9,DMC,2,1.0,9,DMC,2,4-2-3-1,0,0,81.9,8,0.9221,2.0,0.139,1.0779,1.5254,1.7423,1.1422,1.1969,1.243,0.110063,11.006,model,history,7221.0,medium,surface_with_caveat,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,1,9156,Kevin Schade,Kevin Schade,Brentford,Chelsea FC,AML,AML,3.1,0.322581,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.357617,2.7963,0.4426,1.9442,0.227,0.4413,0.4413,0.0012,0.4426,1.0,,0.0028,0,0.0103,0.0103,3.13,recent_long,1.0,18.0,0.0556,0.0,0.0,,,1,secondary,0.0,0.0,0.0004,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Kevin Schade,T2,0.0,,80.1,AML,4,0.8889,9,AM,4,4-2-3-1,0,0,80.1,8,2.3604,4.0,0.3289,1.6396,1.5254,1.7423,1.1422,1.1969,1.243,0.108613,10.861,model,history,5772.0,medium,surface_with_caveat,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,1,13222,Igor Thiago,Igor Thiago,Brentford,Chelsea FC,FW,FW,2.1,0.47619,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.526596,1.899,0.7478,1.9442,0.3272,0.6362,0.6362,0.1116,0.7478,1.0,,0.1493,0,0.8277,0.9916,3.21,recent_long,10.0,12.0,0.8333,0.0,0.0,,,1,primary,0.74,6.0,0.0205,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Igor Thiago,T2,0.0,,89.5,FW,5,1.0,10,FW,5,4-2-3-1,0,0,89.5,8,3.0374,0.0,0.3829,-3.0374,1.5254,1.7423,1.1422,1.1969,1.243,0.105852,10.585,model,history,3794.0,medium,surface_with_caveat,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,0,8272,Joao Pedro,Joao Pedro,Chelsea,Brentford FC,FW,FW,2.2,0.454545,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.475347,2.1037,0.645,1.7571,0.3671,0.645,0.645,0.0,0.645,1.0,,0.0,0,0.0,0.0,3.1,recent_long,10.0,18.0,0.5556,0.0,0.0,,,1,tertiary,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,João Pedro,T2,0.0,,86.3,FW,5,1.0,10,FW,5,4-2-3-1,0,0,86.3,8,4.0828,4.0,0.5154,-0.0828,1.1742,1.8094,1.541,1.2546,1.25,0.045764,4.576,model,history,7059.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,0,8497,Cole Palmer,Cole Palmer,Chelsea,Brentford FC,AMC,AMC,2.5,0.4,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.32968,3.0332,0.4,1.7571,0.1724,0.3029,0.3029,0.0971,0.4,1.0,,0.2427,0,0.8188,1.0,2.61,recent_long,11.0,11.0,1.0,0.0,0.0,,,1,primary,0.74,6.0,0.0218,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Cole Palmer,T2,0.0,,89.1,AMC,4,0.8,10,AM,4,4-2-3-1,0,0,89.1,8,2.2998,3.0,0.2895,0.7002,1.1742,1.8094,1.541,1.2546,1.25,-0.175799,-17.58,model,history,5590.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,0,10004,Romeo Lavia,Romeo Lavia,Chelsea,Brentford FC,DMC,DMC,8.0,0.125,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.102178,9.7868,0.1078,1.7571,0.0613,0.1078,0.1078,0.0,0.1078,1.0,,0.0,0,0.0,0.0,1.73,recent_long,0.0,5.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Roméo Lavia,T2,0.0,,78.0,MC,3,0.5714,7,DMC,2,4-2-3-1,-1,0,78.0,8,1.2779,1.0,0.2602,-0.2779,1.1742,1.8094,1.541,1.2546,1.25,-0.182573,-18.257,model,history,1469.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,0,12412,Morgan Rogers,Morgan Rogers,Chelsea,Brentford FC,AML,AML,3.1,0.322581,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.232626,4.2987,0.2648,1.7571,0.1507,0.2648,0.2648,0.0,0.2648,1.0,,0.0,0,0.0,0.0,0.0,none,0.0,5.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Morgan Rogers,T2,0.0,,88.5,AML,4,0.5,10,AM,4,4-2-3-1,0,0,88.5,8,1.5767,4.0,0.1987,2.4233,1.1742,1.8094,1.541,1.2546,1.25,-0.278859,-27.886,model,history,7498.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,0,10805,Levi Colwill,Levi Colwill,Chelsea,Brentford FC,DC,DC,11.0,0.090909,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.059978,16.6727,0.0619,1.7571,0.0352,0.0619,0.0619,0.0,0.0619,1.0,,0.0,0,0.0,0.0,2.19,recent_long,0.0,9.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Levi Colwill,T2,0.0,,84.4,DC,1,1.0,9,DEF,1,4-2-3-1,0,0,84.4,8,0.5307,1.0,0.0742,0.4693,1.4505,1.8094,1.2474,1.2546,1.25,-0.34024,-34.024,model,history,5427.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
2026-09-16T22:08:47Z,2026-09-16T22:08:46Z,2026-09-18,,Bet365,England - Premier League,Brentford FC,Chelsea FC,1,10746,Jaidon Anthony,Jaidon Anthony,Brentford,Chelsea FC,AMR,AMR,3.75,0.266667,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.171181,5.8418,0.1878,1.9442,0.0966,0.1878,0.1878,0.0,0.1878,1.0,,0.0,0,0.0,0.0,1.21,recent_long,0.0,3.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Jaidon Anthony,T2,0.0,,78.0,AML,4,0.5,8,AM,4,4-2-3-1,0,0,78.0,8,0.8778,1.0,0.1442,0.1222,1.5254,1.7423,1.1422,1.1969,1.243,-0.35807,-35.807,model,history,3118.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72221274;market=Anytime Goalscorer
