date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-11,2026-04-11T16:30:00Z,FC Barcelona vs Espanyol Barcelona,Spain - LaLiga,Fermin Lopez,Barcelona,Espanyol Barcelona,public_pick,-0.4281,1.2669,0,,0,starter,0.382978,2.6111,Bet365,3.0000,0.148934,high,2026-04-11T15:31:19Z,,11822,Fermin Lopez,FC Barcelona,Espanyol Barcelona,AMC,AMC,4031.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.2500,played_did_not_score
2026-04-11,2026-04-11T12:00:00Z,Real Sociedad San Sebastian vs Deportivo Alaves,Spain - LaLiga,Antonio Martinez,Alaves,Real Sociedad San Sebastian,public_pick,0.9935,1.1576,1,Carlos Vicente,0,starter,0.325777,3.0696,Bet365,3.4000,0.107642,high,2026-04-11T11:24:48Z,,6400,Antonio Martinez,Real Sociedad San Sebastian,Deportivo Alaves,FW,FW,3032.0,T1,surface,,0,0.0960,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.2500,played_did_not_score
2026-04-12,2026-04-12T14:15:00Z,RCD Mallorca vs Rayo Vallecano,Spain - LaLiga,Jandro Garcia,Rayo Vallecano,RCD Mallorca,public_pick,-0.6105,0.9676,0,,0,starter,0.246547,4.0560,Bet365,7.0000,0.725829,high,2026-04-12T13:33:02Z,,7071,Jandro Garcia,RCD Mallorca,Rayo Vallecano,FWL,FWL,7111.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-04-13T00:02:41Z,-0.5000,played_did_not_score
2026-04-21,2026-04-21T19:30:00Z,Real Madrid vs Deportivo Alaves,Spain - LaLiga,Antonio Martinez,Alaves,Real Madrid,public_pick,0.9935,0.8006,0,,0,starter,0.284167,3.5191,Bet365,4.3330,0.231296,high,2026-04-21T18:48:06Z,,6400,Antonio Martinez,Real Madrid,Deportivo Alaves,FW,FW,3032.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,1,won,2026-04-22T00:02:34Z,3.3330,scored_1_goals
2026-04-21,2026-04-21T19:30:00Z,Real Madrid vs Deportivo Alaves,Spain - LaLiga,Joan Martinez,Alaves,Real Madrid,public_pick,0.9935,0.8006,0,,0,starter,0.284167,3.5191,Bet365,6.5000,0.847085,high,2026-04-21T18:48:06Z,,6400,Joan Martinez,Real Madrid,Deportivo Alaves,FW,FW,3032.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,1,won,2026-04-22T00:02:34Z,2.7500,scored_1_goals
2026-04-25,2026-04-25T12:00:00Z,Deportivo Alaves vs RCD Mallorca,Spain - LaLiga,Vedat Muriqi,Mallorca,Deportivo Alaves,public_pick,1.2899,1.0039,0,,0,starter,0.506888,1.9728,Bet365,2.6000,0.317909,high,2026-04-25T11:35:52Z,,9002,Vedat Muriqi,Deportivo Alaves,RCD Mallorca,FW,FW,6846.0,T1,surface,,0,0.2274,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-26T00:03:49Z,-1.2500,played_did_not_score
2026-04-26,2026-04-26T14:15:00Z,Real Oviedo vs Elche CF,Spain - LaLiga,Federico Vinas,Real Oviedo,Elche CF,public_pick,0.7956,1.6377,0,,0,starter,0.457447,2.1860,Bet365,2.5000,0.143617,high,2026-04-26T13:55:56Z,,13705,Federico Vinas,Real Oviedo,Elche CF,FW,FW,2142.0,T1,surface,,0,0.0945,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-27T00:06:30Z,-1.2500,played_did_not_score
2026-04-27,2026-04-27T19:00:00Z,Espanyol Barcelona vs Levante UD,Spain - LaLiga,Carlos Espi,Levante,Espanyol Barcelona,public_pick,2.0931,1.2869,0,,0,starter,0.448844,2.2279,Bet365,3.0000,0.346532,high,2026-04-27T18:18:31Z,,13769,Carlos Espi,Espanyol Barcelona,Levante UD,FW,FW,806.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-28T00:45:08Z,-1.2500,played_did_not_score
2026-05-02,2026-05-02T19:00:00Z,CA Osasuna vs FC Barcelona,Spain - LaLiga,Ante Budimir,Osasuna,FC Barcelona,public_pick,-1.0107,0.9192,0,,0,starter,0.480524,2.0811,Bet365,2.3750,0.141244,high,2026-05-02T18:04:36Z,,1235,Ante Budimir,CA Osasuna,FC Barcelona,FW,FW,8070.0,T1,surface,,0,0.2623,1.25,core,1.25u Core,,,,,1,0,lost,2026-05-03T00:16:14Z,-1.2500,played_did_not_score
2026-05-02,2026-05-02T16:30:00Z,Deportivo Alaves vs Athletic Bilbao,Spain - LaLiga,Antonio Martinez,Alaves,Athletic Bilbao,public_pick,3.3208,0.9534,1,Carlos Vicente,0,starter,0.472037,2.1185,Bet365,2.8750,0.357106,high,2026-05-02T16:27:54Z,,6400,Antonio Martinez,Deportivo Alaves,Athletic Bilbao,FW,FW,3295.0,T1,surface,,0,0.1103,1.25,core,1.25u Core,,,,,1,0,lost,2026-05-03T00:16:14Z,-1.2500,played_did_not_score
2026-05-03,2026-05-03T16:30:00Z,Real Betis Seville vs Real Oviedo,Spain - LaLiga,Federico Vinas,Real Oviedo,Real Betis Seville,public_pick,0.6908,0.7869,0,,0,starter,0.318019,3.1445,Bet365,3.6000,0.144868,high,2026-05-03T15:59:03Z,,13705,Federico Vinas,Real Betis Seville,Real Oviedo,FW,FW,2232.0,T1,surface,,0,0.1460,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-04T00:12:59Z,-1.0000,played_did_not_score
2026-05-03,2026-05-03T16:30:00Z,Real Betis Seville vs Real Oviedo,Spain - LaLiga,Ilyas Chaira,Real Oviedo,Real Betis Seville,public_pick,2.2487,0.7869,0,,0,starter,0.219199,4.5621,Bet365,5.0000,0.095995,high,2026-05-03T15:59:03Z,,13701,Ilyas Chaira,Real Betis Seville,Real Oviedo,AML,AML,2239.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-04T00:12:59Z,-1.0000,played_did_not_score
2026-05-09,2026-05-09T12:00:00Z,Elche CF vs Deportivo Alaves,Spain - LaLiga,Alvaro Rodriguez,Elche,Deportivo Alaves,public_pick,-2.0797,0.9788,0,,0,starter,0.353163,2.8316,Bet365,3.2500,0.147780,high,2026-05-09T11:15:25Z,,11186,Alvaro Rodriguez,Elche CF,Deportivo Alaves,FW,FW,2752.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,1,won,2026-05-10T00:13:00Z,2.8125,scored_1_goals
2026-05-09,2026-05-09T12:00:00Z,Elche CF vs Deportivo Alaves,Spain - LaLiga,Antonio Martinez,Alaves,Elche CF,public_pick,3.4872,1.3412,1,Carlos Vicente,0,starter,0.440811,2.2685,Bet365,2.8750,0.267332,high,2026-05-09T11:15:25Z,,6400,Antonio Martinez,Elche CF,Deportivo Alaves,FW,FW,3385.0,T1,surface,,0,0.1170,1.25,core,1.25u Core,,,,,1,1,won,2026-05-10T00:13:00Z,2.3438,scored_1_goals
