capture_date,captured_at,match_date,event_id,kickoff_at,minutes_to_kickoff,snapshot_kind,bookmaker,competition,market,home_team,away_team,player_name,player_team,odds_decimal,implied_prob,source,notes
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Albert Gudmundsson,,2.7500,0.363636,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Antonio Pirro,,4.3330,0.230787,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Berat Djimsiti,,15.0000,0.066667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Charles De Ketelaere,,3.1000,0.322581,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Cher Ndour,,7.0000,0.142857,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Daniele Rugani,,10.0000,0.100000,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Davide Zappacosta,,6.0000,0.166667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Dodo dos Santos,,9.0000,0.111111,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Dominic Vavassori,,2.7500,0.363636,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Eddy Kouadio,,10.0000,0.100000,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Ederson Silva,,6.0000,0.166667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Eman Kospo,,12.0000,0.083333,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Fabiano Parisi,,6.0000,0.166667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Giacomo Raspadori,,2.4000,0.416667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Gianluca Scamacca,,2.4000,0.416667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Giorgio Puzzoli,,5.5000,0.181818,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Giorgio Scalvini,,10.0000,0.100000,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Giovanni Fabbian,,4.3330,0.230787,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Honest Ahanor,,10.0000,0.100000,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Isak Hien,,15.0000,0.066667,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Jack Harrison,,5.5000,0.181818,odds_api_io,event_id=61061689;market=Anytime Goalscorer
2026-05-19,2026-05-19T19:53:21Z,2026-05-22,61061689,2026-05-22T18:45:00Z,4251.6,live_capture,Bet365,Italy - Serie A,ATGS,ACF Fiorentina,Atalanta BC,Jacopo Fazzini,,4.3330,0.230787,odds_api_io,event_id=61061689;market=Anytime Goalscorer
