file_date,match_date,match,kick_off,league,market,line,side,model_prob,model_prob_raw,model_fair,bookmaker,bookie_odds,edge,stake,stake_label,lambda_h,lambda_a,lambda_h_recent,lambda_a_recent,divergence,consensus,policy_version,settled,settled_at,actual_total_corners,won,pnl_units,pnl_staked,closing_odds,clv,running_pnl
2026-04-12,2026-04-12,Genoa vs Sassuolo,2026-04-12T10:30:00Z,serie-a,corners,8.0,under,0.7169,0.7169,1.395,Pinnacle,2.42,0.3036,3.0,MAX,3.51,3.59,,,,,V2,yes,2026-04-12T18:46:30Z,8,push,0.0,0.0,2.42,0.0,0.0
2026-04-12,2026-04-12,Bologna vs Lecce,2026-04-12T16:00:00Z,serie-a,corners,9.5,over,0.6843,,1.461,Pinnacle,2.02,0.1893,1.0,MEDIUM,7.61,3.63,,,,,V2,yes,2026-04-12T18:46:30Z,14,yes,1.02,1.02,2.0,0.01,1.02
2026-04-12,2026-04-12,Parma vs Napoli,2026-04-12T13:00:00Z,serie-a,corners,8.0,under,0.7502,0.7502,1.333,Pinnacle,2.26,0.3077,3.0,MAX,2.33,4.5,,,,,V2,yes,2026-04-12T18:46:30Z,10,no,-1.0,-3.0,2.26,0.0,-1.98
2026-04-10,2026-04-10,Augsburg vs TSG Hoffenheim,2026-04-10T18:30:00Z,bundesliga,corners,10.5,over,0.6191,,1.615,Pinnacle,2.06,0.1337,0.5,LOW,8.39,3.3,,,,,V2,yes,2026-04-13T00:24:55Z,8,no,-1.0,-0.5,2.21,-0.0679,-2.48
2026-04-10,2026-04-10,Marseille vs Metz,2026-04-10T19:05:00Z,ligue-1,corners,9.5,under,0.6887,,1.452,Pinnacle,1.88,0.1568,1.0,MEDIUM,4.79,3.44,,,,,V2,yes,2026-04-13T00:24:55Z,11,no,-1.0,-1.0,1.8333,0.0255,-3.48
2026-04-11,2026-04-11,RB Leipzig vs Borussia Monchengladbach,2026-04-11T13:30:00Z,bundesliga,corners,9.5,over,0.6622,,1.51,Pinnacle,1.93,0.144,0.5,LOW,5.15,5.88,,,,,V2,yes,2026-04-13T00:24:55Z,15,yes,0.93,0.465,1.9174,0.0066,-3.015
2026-04-11,2026-04-11,Atalanta BC vs Juventus,2026-04-11T18:45:00Z,serie-a,corners,8.5,under,0.6761,,1.479,Pinnacle,2.25,0.2316,1.5,HIGH,3.88,3.52,,,,,V2,yes,2026-04-13T00:24:55Z,15,no,-1.0,-1.5,2.23,0.009,-4.515
2026-04-11,2026-04-11,Brentford vs Everton,2026-04-11T14:00:00Z,epl,corners,10.5,under,0.7333,,1.364,Pinnacle,1.64,0.1235,0.5,LOW,5.07,3.69,,,,,V2,yes,2026-04-13T00:24:55Z,5,yes,0.64,0.32,1.6135,0.0164,-4.195
2026-04-12,2026-04-12,VfB Stuttgart vs Hamburger SV,2026-04-12T15:30:00Z,bundesliga,corners,10.5,over,0.6688,,1.495,Pinnacle,2.07,0.1857,1.0,MEDIUM,6.78,5.37,,,,,V2,yes,2026-04-13T00:24:55Z,10,no,-1.0,-1.0,2.07,0.0,-5.195
2026-04-12,2026-04-12,Chelsea vs Manchester City,2026-04-12T15:30:00Z,epl,corners,9.5,under,0.7063,,1.416,Pinnacle,2.09,0.2278,1.5,HIGH,2.85,5.23,,,,,V2,yes,2026-04-13T00:24:55Z,16,no,-1.0,-1.5,2.03,0.0296,-6.695
2026-04-12,2026-04-12,Lyon vs Lorient,2026-04-12T18:45:00Z,ligue-1,corners,9.0,under,0.6322,0.6322,1.582,Pinnacle,2.04,0.142,0.38,LOW,6.51,2.15,,,,,V2,yes,2026-04-13T00:24:55Z,10,no,-1.0,-0.38,2.04,0.0,-7.075
2026-04-12,2026-04-12,Sunderland vs Tottenham Hotspur,2026-04-12T13:00:00Z,epl,corners,9.0,under,0.5573,0.5573,1.794,Pinnacle,2.37,0.1354,0.38,LOW,3.95,5.28,,,,,V2,yes,2026-04-13T00:24:55Z,8,yes,1.37,0.521,2.37,0.0,-6.554
2026-04-12,2026-04-12,Nice vs Le Havre,2026-04-12T15:15:00Z,ligue-1,corners,9.0,under,0.5386,0.5386,1.857,Pinnacle,2.46,0.1321,0.38,LOW,4.95,4.42,,,,,V2,yes,2026-04-13T00:24:55Z,7,yes,1.46,0.555,2.46,0.0,-5.999
2026-04-12,2026-04-12,Crystal Palace vs Newcastle United,2026-04-12T13:00:00Z,epl,corners,10.0,under,0.6175,0.6175,1.619,Pinnacle,2.01,0.12,0.19,TINY,4.14,5.58,,,,,V2,yes,2026-04-13T00:24:55Z,6,yes,1.01,0.192,2.01,0.0,-5.807
