pick_id,published_at_utc,kickoff_utc,time_to_kickoff_hours,match_id,match_date,league,match,home_team,away_team,selection,line,side,model,model_fair_odds,model_implied_prob,raw_model_probability,market_fair_probability,model_market_gap,edge,matchday,team_neff,opponent_neff,model_mean,model_input_version,price_captured_at_utc,distribution_parameter,signal_status,pinnacle_price_at_publication,pinnacle_price_3h_pre_kickoff,pinnacle_price_1h_pre_kickoff,pinnacle_price_close,close_lag_minutes,true_close,published_to_close_clv,model_to_close_clv,pinnacle_movement_to_close,result,pnl_units,actual_total_corners,settled_at,current_model_would_have_priced,confidence_guard_applied,blocked_reason
corners_v3|2026-08-22|ligue-1|lens|auxerre|9.5|under,2026-08-19T12:30:05Z,2026-08-22T15:15:00Z,74.749,2026-08-22|ligue-1|lens|auxerre,2026-08-22,ligue-1,Lens vs Auxerre,Lens,Auxerre,under 9.5,9.5,under,corners_v3,1.881647,0.531449,0.531449,0.460001,0.071449,0.089471,1,20,20,9.461379,,,0.01716653,warmup_tracking,2.05,2.0,2.01,2.01,14.883,true,0.0199,0.068212,-0.04,lost,-1.0,11,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-22|serie-a|udinese|como|8.5|over,2026-08-21T15:00:05Z,2026-08-22T16:30:00Z,25.499,2026-08-22|serie-a|udinese|como,2026-08-22,serie-a,Udinese vs Como,Udinese,Como,over 8.5,8.5,over,corners_v3,1.733041,0.57702,0.57702,0.524845,0.052175,0.050004,1,20,20,9.350333,,,0.01716653,warmup_tracking,1.8197,1.8772,1.9091,1.9091,89.883,true,-0.046828,0.101589,0.0894,won,0.82,11,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-22|ligue-1|toulouse|lyon|8.5|under,2026-08-19T12:30:05Z,2026-08-22T18:45:00Z,78.249,2026-08-22|ligue-1|toulouse|lyon,2026-08-22,ligue-1,Toulouse vs Lyon,Toulouse,Lyon,under 8.5,8.5,under,corners_v3,2.358445,0.424008,0.424008,0.36062,0.063388,0.098181,1,20,20,9.341573,,,0.01716653,warmup_tracking,2.59,2.52,2.52,2.52,74.733,true,0.027778,0.0685,-0.07,lost,-1.0,11,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-22|serie-a|genoa|napoli|8.5|under,2026-08-19T12:30:05Z,2026-08-22T18:45:00Z,78.249,2026-08-22|serie-a|genoa|napoli,2026-08-22,serie-a,Genoa vs Napoli,Genoa,Napoli,under 8.5,8.5,under,corners_v3,1.836855,0.544409,0.544409,0.504393,0.040016,0.034867,1,20,20,8.371265,,,0.01716653,warmup_tracking,1.9009,1.8547,1.8547,1.8547,74.733,true,0.02491,0.009715,-0.0462,lost,-1.0,10,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-22|la-liga|espanol|real madrid|9.5|under,2026-08-19T12:30:05Z,2026-08-22T19:30:00Z,78.999,2026-08-22|la-liga|espanol|real madrid,2026-08-22,la-liga,Espanyol vs Real Madrid,Espanyol,Real Madrid,under 9.5,9.5,under,corners_v3,1.898488,0.526735,0.526735,0.440745,0.08599,0.13248,1,20,20,9.500525,,,0.01716653,warmup_tracking,2.15,2.04,2.04,2.04,119.733,true,0.053922,0.074539,-0.11,won,1.15,8,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-23|epl|brighton|aston villa|9.5|under,2026-08-19T12:30:05Z,2026-08-23T13:00:00Z,96.499,2026-08-23|epl|brighton|aston villa,2026-08-23,epl,Brighton vs Aston Villa,Brighton,Aston Villa,under 9.5,9.5,under,corners_v3,1.934011,0.51706,0.51706,0.462422,0.054638,0.059973,1,20,20,9.581154,,,0.01716653,warmup_tracking,2.05,2.06,2.06,2.06,29.9,true,-0.004854,0.065144,0.01,won,1.05,7,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-23|ligue-1|angers|lille|8.5|under,2026-08-19T12:30:05Z,2026-08-23T13:00:00Z,96.499,2026-08-23|ligue-1|angers|lille,2026-08-23,ligue-1,Angers vs Lille,Angers,Lille,under 8.5,8.5,under,corners_v3,1.98222,0.504485,0.504485,0.41871,0.085775,0.130046,1,20,20,8.683395,,,0.01716653,warmup_tracking,2.24,2.24,2.24,2.18,29.9,true,0.027523,0.099777,-0.06,lost,-1.0,11,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-23|la-liga|ath madrid|villarreal|9.5|under,2026-08-20T11:00:11Z,2026-08-23T15:00:00Z,75.997,2026-08-23|la-liga|ath madrid|villarreal,2026-08-23,la-liga,Atletico Madrid vs Villarreal,Atletico Madrid,Villarreal,under 9.5,9.5,under,corners_v3,1.908371,0.524007,0.524007,0.445197,0.07881,0.116135,1,20,20,9.523217,,,0.01716653,warmup_tracking,2.13,2.09,2.1,2.1,149.9,false,0.014286,0.100415,-0.03,won,1.13,8,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-23|ligue-1|le havre|monaco|8.5|under,2026-08-19T12:30:05Z,2026-08-23T15:15:00Z,98.749,2026-08-23|ligue-1|le havre|monaco,2026-08-23,ligue-1,Le Havre vs Monaco,Le Havre,Monaco,under 8.5,8.5,under,corners_v3,2.046078,0.48874,0.48874,0.359732,0.129008,0.270724,1,20,20,8.808599,,,0.01716653,warmup_tracking,2.6,2.28,2.33,2.33,14.9,true,0.11588,0.138764,-0.27,lost,-1.0,11,2026-09-01T14:17:11Z,true,false,
corners_v3|2026-08-23|serie-a|torino|milan|8.5|over,2026-08-21T15:00:05Z,2026-08-23T18:45:00Z,51.749,2026-08-23|serie-a|torino|milan,2026-08-23,serie-a,Torino vs AC Milan,Torino,AC Milan,over 8.5,8.5,over,corners_v3,1.744896,0.5731,0.5731,0.524845,0.048255,0.04287,1,20,20,9.316999,,,0.01716653,warmup_tracking,1.8197,1.8264,1.8264,1.8264,74.9,true,-0.003668,0.04671,0.0067,lost,-1.0,6,2026-09-01T14:17:11Z,true,false,
