pick_id,published_at_utc,kickoff_utc,time_to_kickoff_hours,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model_fair_odds,model_implied_prob,book_price_at_publication,book_price_3h_pre_kickoff,book_price_1h_pre_kickoff,book_price_close,published_to_close_clv,model_to_close_clv,book_movement_to_close,result,pnl_units,actual_team_shots,settled_at,current_model_would_have_priced,confidence_guard_applied,blocked_reason
canonical_form_v3_ema20_nb|2026-04-26|serie-a|fiorentina|sassuolo|sassuolo|10.5|over,2026-04-25T14:05:25Z,2026-04-26T10:30:00Z,20.41,2026-04-26|serie-a|fiorentina|sassuolo,2026-04-26,serie-a,ACF Fiorentina vs Sassuolo Calcio,ACF Fiorentina,Sassuolo Calcio,Sassuolo Calcio,Bet365,Sassuolo Calcio over 10.5,10.5,over,1.68104,0.59487,1.833,1.833,1.833,1.833,0.0,0.090397,0.0,won,0.833,11,2026-04-27T17:01:41Z,true,false,
canonical_form_v3_ema20_nb|2026-04-26|serie-a|genoa|como|como|13.5|under,2026-04-24T16:02:46Z,2026-04-26T13:00:00Z,44.954,2026-04-26|serie-a|genoa|como,2026-04-26,serie-a,Genoa CFC vs Como 1907,Genoa CFC,Como 1907,Como 1907,Bet365,Como 1907 under 13.5,13.5,under,1.635518,0.611427,1.833,1.833,1.833,1.833,0.0,0.120746,0.0,won,0.833,8,2026-04-27T17:01:41Z,true,false,
canonical_form_v3_ema20_nb|2026-04-26|bundesliga|stuttgart|werder bremen|stuttgart|16.5|under,2026-04-25T14:05:30Z,2026-04-26T13:30:00Z,23.408,2026-04-26|bundesliga|stuttgart|werder bremen,2026-04-26,bundesliga,VfB Stuttgart vs Werder Bremen,VfB Stuttgart,Werder Bremen,VfB Stuttgart,Bet365,VfB Stuttgart under 16.5,16.5,under,1.583899,0.631353,1.8,1.8,1.8,1.8,0.0,0.136435,0.0,lost,-1.0,20,2026-04-27T17:00:42Z,true,false,
canonical_form_v3_ema20_nb|2026-04-26|la-liga|oviedo|elche|elche|11.5|under,2026-04-25T14:05:28Z,2026-04-26T14:15:00Z,24.159,2026-04-26|la-liga|oviedo|elche,2026-04-26,la-liga,Real Oviedo vs Elche CF,Real Oviedo,Elche CF,Elche CF,Bet365,Elche CF under 11.5,11.5,under,1.68973,0.591811,2.0,2.0,2.0,2.0,0.0,0.183622,0.0,won,1.0,4,2026-04-27T17:00:42Z,true,false,
canonical_form_v3_ema20_nb|2026-04-26|bundesliga|dortmund|freiburg|dortmund|16.5|under,2026-04-25T14:05:30Z,2026-04-26T15:30:00Z,25.408,2026-04-26|bundesliga|dortmund|freiburg,2026-04-26,bundesliga,Borussia Dortmund vs SC Freiburg,Borussia Dortmund,SC Freiburg,Borussia Dortmund,Bet365,Borussia Dortmund under 16.5,16.5,under,1.55102,0.644737,1.909,1.909,1.909,1.909,0.0,0.230803,0.0,lost,-1.0,17,2026-04-27T17:00:42Z,true,false,
canonical_form_v3_ema20_nb|2026-04-26|la-liga|osasuna|sevilla|osasuna|12.5|over,2026-04-25T14:05:28Z,2026-04-26T16:30:00Z,26.409,2026-04-26|la-liga|osasuna|sevilla,2026-04-26,la-liga,CA Osasuna vs Sevilla FC,CA Osasuna,Sevilla FC,CA Osasuna,Bet365,CA Osasuna over 12.5,12.5,over,1.821233,0.549079,2.0,2.0,1.833,1.833,0.091107,0.006462,-0.167,won,1.0,15,2026-04-27T17:00:42Z,true,false,
canonical_form_v3_ema20_nb|2026-04-26|la-liga|villarreal|celta|villarreal|13.5|under,2026-04-25T14:05:28Z,2026-04-26T19:00:00Z,28.909,2026-04-26|la-liga|villarreal|celta,2026-04-26,la-liga,Villarreal CF vs RC Celta de Vigo,Villarreal CF,RC Celta de Vigo,Villarreal CF,Bet365,Villarreal CF under 13.5,13.5,under,1.701675,0.587656,1.833,1.833,1.833,1.833,0.0,0.077173,0.0,won,0.833,13,2026-04-27T17:00:42Z,true,false,
canonical_form_v3_ema20_nb|2026-04-27|serie-a|cagliari|atalanta|atalanta|13.5|under,2026-04-26T13:58:49Z,2026-04-27T16:30:00Z,26.52,2026-04-27|serie-a|cagliari|atalanta,2026-04-27,serie-a,Cagliari Calcio vs Atalanta BC,Cagliari Calcio,Atalanta BC,Atalanta BC,Bet365,Atalanta BC under 13.5,13.5,under,1.683338,0.594058,1.833,1.833,1.833,1.833,0.0,0.088908,0.0,won,0.833,12,2026-04-28T23:35:24Z,true,false,
canonical_form_v3_ema20_nb|2026-04-27|epl|man united|brentford|man united|16.5|under,2026-04-26T13:58:48Z,2026-04-27T19:00:00Z,29.02,2026-04-27|epl|man united|brentford,2026-04-27,epl,Manchester United vs Brentford FC,Manchester United,Brentford FC,Manchester United,Bet365,Manchester United under 16.5,16.5,under,1.666599,0.600024,1.8,1.8,1.8,1.8,0.0,0.080043,0.0,won,0.8,11,2026-04-28T23:35:24Z,true,false,
canonical_form_v3_ema20_nb|2026-05-01|serie-a|pisa|lecce|lecce|12.5|under,2026-05-01T10:59:57Z,2026-05-01T18:45:00Z,7.751,2026-05-01|serie-a|pisa|lecce,2026-05-01,serie-a,Pisa SC vs US Lecce,Pisa SC,US Lecce,US Lecce,Bet365,US Lecce under 12.5,12.5,under,1.642318,0.608896,1.727,1.727,1.727,1.727,0.0,0.051563,0.0,won,0.727,7,2026-05-02T01:14:02Z,false,true,canonical_only_guard
