pick_id,published_at_utc,price_captured_at_utc,kickoff_utc,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,book_odds,edge,current_model_would_have_priced,confidence_guard_applied,blocked_reason,result,pnl_units,raw_model_probability,market_fair_probability,model_market_gap,matchday,team_neff,opponent_neff,model_mean,distribution_parameter,signal_status,model_input_version,feature_asof,stake_units,real_stake_units,time_to_kickoff_hours,market_strength_captured_at_utc,book_price_at_publication,book_price_3h_pre_kickoff,book_price_1h_pre_kickoff,book_price_close,close_lag_minutes,true_close,published_to_close_clv,model_to_close_clv,book_movement_to_close,actual_team_shots,settled_at
team_shots_opponent|2026-09-13|la-liga|celta|malaga|celta|under|13.5,2026-09-12T21:13:31Z,2026-09-12T18:45:41Z,2026-09-13T12:00:00Z,2026-09-13|la-liga|celta|malaga,2026-09-13,la-liga,RC Celta de Vigo vs Malaga CF,RC Celta de Vigo,Malaga CF,RC Celta de Vigo,Bet365,RC Celta de Vigo under 13.5,13.5,under,team_shots_opponent,1.604146,0.623385,1.8,0.122092,true,false,,lost,-1.0,0.742517,0.514694,0.227823,0,40,40,11.041314,0.04942424,eligible,opponent-shots-20260912,2026-09-12,1,0,14.775,,1.8,1.8,1.8,1.8,758.0,false,0.0,0.122093,0.0,17,2026-09-14T10:50:31Z
team_shots_opponent|2026-09-13|serie-a|lecce|monza|monza|under|12.5,2026-09-12T21:13:31Z,2026-09-12T18:45:40Z,2026-09-13T13:00:00Z,2026-09-13|serie-a|lecce|monza,2026-09-13,serie-a,US Lecce vs AC Monza,US Lecce,AC Monza,AC Monza,Bet365,AC Monza under 12.5,12.5,under,team_shots_opponent,1.527355,0.654727,1.727,0.130713,true,false,,lost,-1.0,0.77814,0.536625,0.241516,0,40,40,9.756421,0.04942424,eligible,opponent-shots-20260912,2026-09-12,1,0,15.775,,1.727,1.727,1.727,1.727,818.0,false,0.0,0.130714,0.0,19,2026-09-14T10:50:31Z
team_shots_opponent|2026-09-13|la-liga|levante|barcelona|barcelona|under|19.5,2026-09-12T21:13:31Z,2026-09-12T18:45:41Z,2026-09-13T14:15:00Z,2026-09-13|la-liga|levante|barcelona,2026-09-13,la-liga,Levante UD vs FC Barcelona,Levante UD,FC Barcelona,FC Barcelona,Bet365,FC Barcelona under 19.5,19.5,under,team_shots_opponent,1.486492,0.672725,1.909,0.284232,true,false,,won,0.909,0.844546,0.485306,0.35924,0,40,40,14.486855,0.04942424,eligible,opponent-shots-20260912,2026-09-12,1,0,17.025,,1.909,1.909,1.909,1.909,1169.317,false,0.0,0.284232,0.0,12,2026-09-14T10:50:31Z
team_shots_opponent|2026-09-13|ligue-1|brest|paris sg|paris sg|under|19.5,2026-09-12T21:13:31Z,2026-09-12T18:45:41Z,2026-09-13T18:45:00Z,2026-09-13|ligue-1|brest|paris sg,2026-09-13,ligue-1,Stade Brest 29 vs Paris Saint-Germain,Stade Brest 29,Paris Saint-Germain,Paris Saint-Germain,Bet365,Paris Saint-Germain under 19.5,19.5,under,team_shots_opponent,1.645454,0.607735,1.833,0.113978,true,false,,won,0.833,0.72786,0.5,0.22786,0,40,40,16.493559,0.04942424,eligible,opponent-shots-20260912,2026-09-12,1,0,21.525,,1.833,1.833,1.833,1.833,1162.983,false,0.0,0.113978,0.0,15,2026-09-14T10:50:31Z
team_shots_opponent|2026-09-13|la-liga|sociedad|ath madrid|sociedad|over|12.5,2026-09-12T21:39:15Z,2026-09-12T21:39:07Z,2026-09-13T19:00:00Z,2026-09-13|la-liga|sociedad|ath madrid,2026-09-13,la-liga,Real Sociedad San Sebastian vs Atletico Madrid,Real Sociedad San Sebastian,Atletico Madrid,Real Sociedad San Sebastian,Bet365,Real Sociedad San Sebastian over 12.5,12.5,over,team_shots_opponent,1.916939,0.521665,2.0,0.04333,true,false,,lost,-1.0,0.593363,0.463375,0.129988,0,40,40,14.014357,0.04942424,eligible,opponent-shots-20260912,2026-09-12,1,0,21.346,,2.0,1.833,1.833,1.833,79.85,true,0.091107,-0.043788,-0.167,8,2026-09-14T10:50:31Z
team_shots_opponent|2026-09-14|epl|leeds|newcastle|leeds|over|13.5,2026-09-13T19:47:03Z,2026-09-13T19:46:55Z,2026-09-14T19:00:00Z,2026-09-14|epl|leeds|newcastle,2026-09-14,epl,Leeds United vs Newcastle United,Leeds United,Newcastle United,Leeds United,Bet365,Leeds United over 13.5,13.5,over,team_shots_opponent,1.688063,0.592395,1.8,0.066311,true,false,,won,0.8,0.682833,0.514694,0.168139,0,40,40,16.404121,0.04942424,eligible,opponent-shots-20260912,2026-09-13,1,0,23.216,,1.8,1.8,1.8,1.8,180.367,false,0.0,0.066311,0.0,15,2026-09-15T13:38:00Z
team_shots_opponent|2026-09-15|la-liga|elche|real madrid|real madrid|under|18.5,2026-09-14T20:34:25Z,2026-09-14T20:34:16Z,2026-09-15T19:30:00Z,2026-09-15|la-liga|elche|real madrid,2026-09-15,la-liga,Elche CF vs Real Madrid,Elche CF,Real Madrid,Real Madrid,Bet365,Real Madrid under 18.5,18.5,under,team_shots_opponent,1.401928,0.713303,1.727,0.231875,true,false,,lost,-1.0,0.8659,0.536625,0.329275,0,40,40,13.273543,0.04942424,eligible,opponent-shots-20260912,2026-09-14,1,0,22.926,,1.727,2.0,2.0,2.0,301.85,false,-0.1365,0.426606,0.273,20,2026-09-16T13:33:43Z
team_shots_opponent|2026-09-16|la-liga|ath madrid|osasuna|ath madrid|under|16.5,2026-09-15T18:28:40Z,2026-09-15T18:28:31Z,2026-09-16T17:00:00Z,2026-09-16|la-liga|ath madrid|osasuna,2026-09-16,la-liga,Atletico Madrid vs CA Osasuna,Atletico Madrid,CA Osasuna,Atletico Madrid,Bet365,Atletico Madrid under 16.5,16.5,under,team_shots_opponent,1.548843,0.645643,1.8,0.162158,true,false,,lost,-1.0,0.781567,0.514694,0.266873,0,40,40,13.081033,0.04942424,eligible,opponent-shots-20260912,2026-09-15,1,0,22.522,,1.8,1.8,1.8,1.8,158.233,false,0.0,0.162157,0.0,27,2026-09-17T13:32:26Z
team_shots_opponent|2026-09-16|la-liga|levante|ath bilbao|ath bilbao|under|13.5,2026-09-15T21:45:32Z,2026-09-15T21:45:24Z,2026-09-16T19:30:00Z,2026-09-16|la-liga|levante|ath bilbao,2026-09-16,la-liga,Levante UD vs Athletic Bilbao,Levante UD,Athletic Bilbao,Athletic Bilbao,Bet365,Athletic Bilbao under 13.5,13.5,under,team_shots_opponent,1.711348,0.584335,1.8,0.051802,true,false,,pending,,0.666419,0.514694,0.151725,0,40,40,11.943475,0.04942424,eligible,opponent-shots-20260912,2026-09-15,1,0,21.741,,1.8,1.833,1.833,1.833,64.033,true,-0.018003,0.071086,0.033,,
team_shots_opponent|2026-09-17|la-liga|betis|getafe|betis|under|16.5,2026-09-17T13:32:23Z,2026-09-17T13:32:00Z,2026-09-17T17:00:00Z,2026-09-17|la-liga|betis|getafe,2026-09-17,la-liga,Real Betis Seville vs Getafe CF,Real Betis Seville,Getafe CF,Real Betis Seville,Bet365,Real Betis Seville under 16.5,16.5,under,team_shots_opponent,1.88593,0.530242,2.0,0.060485,true,false,,lost,-1.0,0.611874,0.463375,0.148498,0,40,40,15.421343,0.04942424,eligible,opponent-shots-20260912,2026-09-17,1,0,3.46,,2.0,2.0,1.8,1.8,153.317,false,0.111111,-0.045564,-0.2,22,2026-09-18T13:01:05Z
