date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_prob_raw,model_fair_odds,edge,ev,actual_shots,won,pnl,kickoff_iso,note,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence
2026-04-10,epl,West Ham United,Wolverhampton Wanderers,West Ham United,home,Bet365,12.5,under,1.909,0.5431,0.5431,1.841,0.0368,0.0368,18,False,-1.0,,,,,,,,,,,,
2026-04-10,serie-a,AS Roma,Pisa SC,Pisa SC,away,Bet365,8.5,under,1.727,0.6477,0.6477,1.544,0.1186,0.1186,9,False,-1.0,,,,,,,,,,,,
2026-04-10,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,17.5,under,1.909,0.6248,0.6248,1.601,0.1927,0.1927,8,True,0.909,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Girona FC,away,Bet365,8.5,under,2.0,0.5617,0.5617,1.78,0.1234,0.1234,10,False,-1.0,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,20.5,under,1.833,0.6098,0.6098,1.64,0.1178,0.1178,22,False,-1.0,,,,,,,,,,,,
2026-04-10,bundesliga,FC Augsburg,TSG Hoffenheim,FC Augsburg,home,Bet365,13.5,under,1.727,0.5883,0.5883,1.7,0.016,0.016,17,False,-1.0,,,,,,,,,,,,
2026-04-10,epl,West Ham United,Wolverhampton Wanderers,West Ham United,home,Bet365,13.5,under,1.8,0.5956,0.5956,1.679,0.0721,0.0721,18,False,-1.0,,,,,,,,,,,,
2026-04-10,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,16.5,under,1.833,0.5836,0.5836,1.714,0.0697,0.0697,8,True,0.833,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Girona FC,away,Bet365,9.5,under,1.8,0.6335,0.6335,1.579,0.1403,0.1403,10,False,-1.0,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,18.5,over,1.833,0.632,0.632,1.582,0.1584,0.1584,22,True,0.833,,,,,,,,,,,,
2026-04-11,epl,Liverpool FC,Fulham FC,Liverpool FC,home,Bet365,16.5,under,1.8,0.5663,0.5663,1.766,0.0193,0.0193,18,False,-1.0,,,,,,,,,,,,
2026-04-11,epl,Arsenal FC,AFC Bournemouth,AFC Bournemouth,away,Bet365,9.5,under,1.727,0.5946,0.5946,1.682,0.0269,0.0269,8,True,0.727,,,,,,,,,,,,
2026-04-11,epl,Brentford FC,Everton FC,Brentford FC,home,Bet365,13.5,under,1.833,0.6093,0.6093,1.641,0.1168,0.1168,17,False,-1.0,,,,,,,,,,,,
2026-04-11,epl,Brentford FC,Everton FC,Everton FC,away,Bet365,10.5,under,1.833,0.5503,0.5503,1.817,0.0087,0.0087,14,False,-1.0,,,,,,,,,,,,
2026-04-11,epl,Burnley FC,Brighton & Hove Albion,Burnley FC,home,Bet365,11.5,under,1.833,0.6566,0.6566,1.523,0.2035,0.2035,10,True,0.833,,,,,,,,,,,,
2026-04-11,serie-a,Cagliari Calcio,US Cremonese,US Cremonese,away,Bet365,10.5,under,1.909,0.6229,0.6229,1.605,0.1891,0.1891,5,True,0.909,,,,,,,,,,,,
2026-04-11,serie-a,Torino FC,Hellas Verona,Torino FC,home,Bet365,13.5,under,1.8,0.5924,0.5924,1.688,0.0663,0.0663,11,True,0.8,,,,,,,,,,,,
